what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1535188178020
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1535188178021
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1535188178022
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1535188178024
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1535188178025
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1535188178026
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1535188178027
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1535188178027
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1535188178028
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1535188178029
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1535188178030
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1535188178031
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1535188178032
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1535188178033
os,sysinfo,,,"win32",1535188178035
arch,sysinfo,,,"x86_64",1535188178035
ws,sysinfo,,,"win32",1535188178035
locale,sysinfo,,,"en_US",1535188178035
processors,sysinfo,,,"4",1535188178035
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1535188178035
java.runtime.version,sysinfo,,,"1.8.0_172-b11",1535188178035
java.specification.name,sysinfo,,,"Java Platform API Specification",1535188178035
java.specification.vendor,sysinfo,,,"Oracle Corporation",1535188178035
java.specification.version,sysinfo,,,"1.8",1535188178035
java.vendor,sysinfo,,,"Oracle Corporation",1535188178035
java.version,sysinfo,,,"1.8.0_172",1535188178035
java.vm.info,sysinfo,,,"mixed mode",1535188178035
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1535188178035
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1535188178035
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1535188178035
java.vm.specification.version,sysinfo,,,"1.8",1535188178035
java.vm.vendor,sysinfo,,,"Oracle Corporation",1535188178035
java.vm.version,sysinfo,,,"25.172-b11",1535188178035
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1535188178055
