what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1535369824479
locale,sysinfo,,,"en_US",1535369824479
processors,sysinfo,,,"4",1535369824479
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1535369824479
java.runtime.version,sysinfo,,,"1.8.0_172-b11",1535369824479
java.specification.name,sysinfo,,,"Java Platform API Specification",1535369824479
java.specification.vendor,sysinfo,,,"Oracle Corporation",1535369824479
java.specification.version,sysinfo,,,"1.8",1535369824479
java.vendor,sysinfo,,,"Oracle Corporation",1535369824479
java.version,sysinfo,,,"1.8.0_172",1535369824479
java.vm.info,sysinfo,,,"mixed mode",1535369824479
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1535369824479
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1535369824479
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1535369824479
java.vm.specification.version,sysinfo,,,"1.8",1535369824479
java.vm.vendor,sysinfo,,,"Oracle Corporation",1535369824479
java.vm.version,sysinfo,,,"25.172-b11",1535369824479
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535369837655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535369843401
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535369845920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535369860717
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1535369863088
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1535369863383
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1535369868471
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1535369880501
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1535369880517
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1535369880529
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1535369888809
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1535369888887
